------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-25 15:45:01,14.8
2025-06-25 15:50:01,15.0
2025-06-25 15:55:01,14.9
2025-06-25 16:00:01,15.1
2025-06-25 16:05:01,15.4
2025-06-25 16:10:01,15.4
2025-06-25 16:15:01,15.5
2025-06-25 16:20:01,15.6
2025-06-25 16:25:01,16.0
2025-06-25 16:30:01,16.4
2025-06-25 16:35:01,16.8
2025-06-25 16:40:01,17.0
2025-06-25 16:45:01,17.6
2025-06-25 16:50:01,18.1
2025-06-25 16:55:01,18.4
2025-06-25 17:00:01,18.4
2025-06-25 17:05:01,18.0
2025-06-25 17:10:01,17.9
2025-06-25 17:15:01,18.0
2025-06-25 17:20:01,18.1
2025-06-25 17:25:01,18.3
2025-06-25 17:30:01,18.4
2025-06-25 17:35:01,18.4
2025-06-25 17:40:01,18.5
2025-06-25 17:45:01,18.4
2025-06-25 17:50:01,18.3
2025-06-25 17:55:01,18.1
2025-06-25 18:00:01,18.1
2025-06-25 18:05:01,18.2
2025-06-25 18:10:01,18.3
2025-06-25 18:15:01,19.0
2025-06-25 18:20:01,19.7
2025-06-25 18:25:01,20.4
2025-06-25 18:30:01,21.1
2025-06-25 18:35:01,21.6
2025-06-25 18:40:01,21.6
2025-06-25 18:45:01,22.5
2025-06-25 18:50:01,24.9
2025-06-25 18:55:01,27.5
2025-06-25 19:00:01,28.3
2025-06-25 19:05:01,27.8
2025-06-25 19:10:01,28.0
2025-06-25 19:15:01,27.9
2025-06-25 19:20:01,26.8
2025-06-25 19:25:01,26.6
2025-06-25 19:30:01,25.7
2025-06-25 19:35:01,25.1
2025-06-25 19:40:01,25.6
2025-06-25 19:45:01,29.2
2025-06-25 19:50:01,31.7
2025-06-25 19:55:01,34.0
2025-06-25 20:00:01,35.3
2025-06-25 20:05:01,33.7
2025-06-25 20:10:01,31.9
2025-06-25 20:15:01,30.5
2025-06-25 20:20:01,30.2
2025-06-25 20:25:01,30.3
2025-06-25 20:30:01,27.8
2025-06-25 20:35:01,27.2
2025-06-25 20:40:01,27.9
2025-06-25 20:45:01,29.0
2025-06-25 20:50:01,31.4
2025-06-25 20:55:01,31.2
2025-06-25 21:00:01,31.1
2025-06-25 21:05:01,31.3
2025-06-25 21:10:01,31.5
2025-06-25 21:15:01,31.7
2025-06-25 21:20:01,32.1
2025-06-25 21:25:01,32.3
2025-06-25 21:30:01,31.4
2025-06-25 21:35:01,31.5
2025-06-25 21:40:01,30.9
2025-06-25 21:45:01,30.8
2025-06-25 21:50:01,30.9
2025-06-25 21:55:01,30.9
2025-06-25 22:00:01,30.5
2025-06-25 22:05:01,29.8
2025-06-25 22:10:01,30.4
2025-06-25 22:15:01,28.6
2025-06-25 22:20:01,29.1
2025-06-25 22:25:01,28.7
2025-06-25 22:30:01,27.0
2025-06-25 22:35:01,25.6
2025-06-25 22:40:01,21.4
2025-06-25 22:45:01,16.4
2025-06-25 22:50:01,15.7
2025-06-25 22:55:01,15.1
2025-06-25 23:00:01,13.8
2025-06-25 23:05:01,13.1
2025-06-25 23:10:01,12.8
2025-06-25 23:15:01,12.5
2025-06-25 23:20:01,12.4
2025-06-25 23:25:01,12.3
2025-06-25 23:30:01,12.1
2025-06-25 23:35:01,11.9
2025-06-25 23:40:01,11.9
2025-06-25 23:45:01,11.7
2025-06-25 23:50:01,11.6
2025-06-25 23:55:01,11.6
2025-06-26 00:00:01,11.4
2025-06-26 00:05:01,11.5
2025-06-26 00:10:01,11.5
2025-06-26 00:15:01,11.4
2025-06-26 00:20:01,11.3
2025-06-26 00:25:01,11.1
2025-06-26 00:30:01,11.1
2025-06-26 00:35:01,11.1
2025-06-26 00:40:01,11.1
2025-06-26 00:45:01,11.2
2025-06-26 00:50:01,11.4
2025-06-26 00:55:01,11.4
2025-06-26 01:00:01,11.7
2025-06-26 01:05:01,11.6
2025-06-26 01:10:01,11.6
2025-06-26 01:15:01,11.7
2025-06-26 01:20:01,11.7
2025-06-26 01:25:01,11.8
2025-06-26 01:30:01,11.6
2025-06-26 01:35:01,11.5
2025-06-26 01:40:01,11.4
2025-06-26 01:45:01,11.3
2025-06-26 01:50:01,11.3
2025-06-26 01:55:01,11.3
2025-06-26 02:00:01,11.3
2025-06-26 02:05:01,11.4
2025-06-26 02:10:01,11.3
2025-06-26 02:15:01,11.1
2025-06-26 02:20:01,11.2
2025-06-26 02:25:01,11.4
2025-06-26 02:30:01,11.7
2025-06-26 02:35:01,11.4
2025-06-26 02:40:01,11.4
2025-06-26 02:45:01,11.6
2025-06-26 02:50:01,11.7
2025-06-26 02:55:01,11.7
2025-06-26 03:00:01,11.7
2025-06-26 03:05:01,11.7
2025-06-26 03:10:01,11.7
2025-06-26 03:15:01,11.7
2025-06-26 03:20:01,11.7
2025-06-26 03:25:01,11.8
2025-06-26 03:30:01,11.8
2025-06-26 03:35:01,11.9
2025-06-26 03:40:01,11.9
2025-06-26 03:45:01,11.9
2025-06-26 03:50:01,12.0
2025-06-26 03:55:01,12.0
2025-06-26 04:00:01,12.1
2025-06-26 04:05:01,12.0
2025-06-26 04:10:01,12.0
2025-06-26 04:15:01,11.9
2025-06-26 04:20:01,11.9
2025-06-26 04:25:01,12.0
2025-06-26 04:30:01,11.7
2025-06-26 04:35:01,11.6
2025-06-26 04:40:01,11.6
2025-06-26 04:45:01,11.7
2025-06-26 04:50:01,11.8
2025-06-26 04:55:01,12.0
2025-06-26 05:00:01,12.0
2025-06-26 05:05:01,12.0
2025-06-26 05:10:01,12.1
2025-06-26 05:15:01,12.1
2025-06-26 05:20:01,12.0
2025-06-26 05:25:01,11.9
2025-06-26 05:30:01,11.9
2025-06-26 05:35:01,11.9
2025-06-26 05:40:01,12.0
2025-06-26 05:45:01,12.0
2025-06-26 05:50:01,11.9
2025-06-26 05:55:01,11.9
2025-06-26 06:00:01,11.8
2025-06-26 06:05:01,11.8
2025-06-26 06:10:01,11.7
2025-06-26 06:15:01,11.8
2025-06-26 06:20:01,11.8
2025-06-26 06:25:01,11.8
2025-06-26 06:30:01,11.8
2025-06-26 06:35:01,11.8
2025-06-26 06:40:01,11.9
2025-06-26 06:45:01,11.8
2025-06-26 06:50:01,11.8
2025-06-26 06:55:01,11.9
2025-06-26 07:00:01,11.9
2025-06-26 07:05:01,11.9
2025-06-26 07:10:01,11.9
